accession,description,length,raw Ns,raw Ns %,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,RM vsl-25 missed Ns,RM vsl-25 missed Ns %
NC_001558.1,Tomato planta macho viroid  complete genome,360,0,0,0,0,0,0,0,0,0,0
NC_001560.1,Vesicular stomatitis Indiana virus  complete genome,11161,0,0,0,0,49,.43,0,0,0,0
NC_001563.2,West Nile virus lineage 2  complete genome,10962,0,0,0,0,0,0,0,0,0,0
NC_001564.2,Cell fusing agent virus strain Galveston  complete genome,10682,0,0,0,0,0,0,0,0,0,0
NC_001574.1,Cacao swollen shoot virus  complete genome,7161,0,0,20,.27,0,0,20,.27,0,0
NC_001583.1,Human papillomavirus type 26  complete genome,7855,0,0,215,2.73,49,.62,215,2.73,0,0
NC_001586.1,Human papillomavirus type 32  complete genome,7961,0,0,66,.82,0,0,66,.82,0,0
NC_001587.1,Human papillomavirus type 34  complete genome,7723,0,0,180,2.33,172,2.22,229,2.96,49,.63
NC_001591.1,Human papillomavirus type 49  complete genome,7560,0,0,97,1.28,0,0,97,1.28,0,0
NC_001593.1,Human papillomavirus type 53  complete genome,7856,0,0,194,2.46,49,.62,243,3.09,49,.62
NC_001596.1,Human papillomavirus type 9  complete genome,7434,0,0,85,1.14,74,.99,85,1.14,0,0
NC_001598.1,Beet yellows virus  complete genome,15480,0,0,0,0,0,0,0,0,0,0
NC_001600.1,Cardamine chlorotic fleck virus  complete genome,4041,0,0,0,0,0,0,0,0,0,0
NC_001604.1,Enterobacteria phage T7  complete genome,39937,0,0,134,.33,0,0,134,.33,0,0
NC_001605.1,Mastomys natalensis papillomavirus  complete genome,7687,0,0,32,.41,0,0,32,.41,0,0
NC_001608.3,Marburg marburgvirus isolate Marburg virus H.sapiens-tc KEN 1980 Mt. Elgon-Musoke  complete genome,19111,0,0,0,0,0,0,0,0,0,0
NC_001609.1,Enterobacteria phage P4  complete genome,11624,0,0,0,0,0,0,0,0,0,0
NC_001611.1,Variola virus  complete genome,185578,0,0,1285,.69,811,.43,1383,.74,98,.05
NC_001612.1,Human enterovirus A  complete genome,7413,0,0,0,0,0,0,0,0,0,0
NC_001615.3,Sonchus yellow net virus complete genome,13720,0,0,0,0,0,0,0,0,0,0
NC_001616.1,Potato virus Y  complete genome,9704,0,0,0,0,0,0,0,0,0,0
NC_001617.1,Human rhinovirus 89  complete genome,7152,0,0,0,0,0,0,0,0,0,0
NC_001618.1,UR2 sarcoma virus  complete genome,3166,0,0,0,0,0,0,0,0,0,0
NC_001619.1,Lambdapapillomavirus 2  complete genome,8607,0,0,183,2.12,98,1.13,183,2.12,0,0
NC_001620.1,Artemia franciscana clone pMA-1 & pMA-3 mitochondrion  complete genome,15822,0,0,35,.22,98,.61,133,.84,98,.61
NC_001623.1,Autographa californica nucleopolyhedrovirus  complete genome,133894,0,0,1541,1.15,539,.40,1737,1.29,196,.14
NC_001625.2,Southern cowpea mosaic virus  complete genome,4193,0,0,0,0,0,0,0,0,0,0
NC_001628.1,Pseudomonas phage PP7  complete genome,3588,0,0,0,0,0,0,0,0,0,0
NC_001629.1,Lactococcus phage bIL67  complete genome,22195,0,0,92,.41,49,.22,141,.63,49,.22
NC_001631.1,Pinus thunbergii chloroplast  complete genome,119707,0,0,2574,2.15,417,.34,2770,2.31,196,.16
NC_001632.1,Rice tungro spherical virus  complete genome,12226,0,0,51,.41,75,.61,51,.41,0,0
NC_001633.1,Mushroom bacilliform virus  complete genome,4009,0,0,0,0,0,0,0,0,0,0
NC_001634.1,Peanut chlorotic streak virus  complete genome,8174,0,0,57,.69,0,0,57,.69,0,0
NC_001636.1,Katharina tunicata mitochondrion  complete genome,15532,0,0,363,2.33,402,2.58,657,4.22,294,1.89
NC_001637.1,Acanthamoeba castellanii mitochondrion  complete genome,41591,0,0,1444,3.47,294,.70,1640,3.94,196,.47
NC_001639.1,Lactate dehydrogenase-elevating virus  complete genome,14104,0,0,0,0,0,0,0,0,0,0
NC_001641.1,Saccharomyces cerevisiae virus L-BC (La)  complete genome,4615,0,0,0,0,0,0,0,0,0,0
NC_001642.1,Bamboo mosaic virus  complete genome,6366,0,0,145,2.27,49,.76,145,2.27,0,0
NC_001645.1,Gorilla gorilla mitochondrion  complete genome,16364,0,0,329,2.01,13485,82.40,13381,81.77,13052,79.76
NC_001647.1,Panicum streak virus - Karino  complete genome,2705,0,0,0,0,0,0,0,0,0,0
NC_001648.1,Cassava vein mosaic virus  complete genome,8159,0,0,109,1.33,98,1.20,207,2.53,98,1.20
NC_001650.2,Equid herpesvirus 2 strain 86 67  complete genome,184439,0,0,4034,2.18,2749,1.49,5528,2.99,1494,.81
NC_001651.1,Citrus bent leaf viroid  complete genome,315,0,0,0,0,0,0,0,0,0,0
NC_001652.1,Infectious hematopoietic necrosis virus  complete genome,11131,0,0,98,.88,98,.88,147,1.32,49,.44
NC_001653.2,Hepatitis delta virus  complete genome,1682,0,0,0,0,0,0,0,0,0,0
NC_001654.1,Jembrana disease virus Tabanan 87 strain  complete genome,7732,0,0,427,5.52,0,0,427,5.52,0,0
NC_001655.1,Hepatitis GB virus B  complete genome,9399,0,0,23,.24,49,.52,23,.24,0,0
NC_001658.1,Cassava common mosaic virus  complete genome,6376,0,0,0,0,0,0,0,0,0,0
NC_001659.2,African swine fever virus strain BA71V  complete genome,170101,0,0,964,.56,344,.20,1209,.71,245,.14
NC_001660.1,Marchantia paleacea mitochondrion  complete genome,186609,0,0,2945,1.57,908,.48,3337,1.78,392,.21
NC_001661.1,Citrus tristeza virus  complete genome,19296,0,0,33,.17,49,.25,33,.17,0,0
NC_001662.1,Aleutian mink disease virus  complete genome,4801,0,0,83,1.72,49,1.02,83,1.72,0,0
NC_001663.2,Hamster polyomavirus isolate Berlin-Buch  complete genome,5372,0,0,0,0,0,0,0,0,0,0
NC_001665.2,Rattus norvegicus strain BN SsNHsdMCW mitochondrion  complete genome,16313,0,0,391,2.39,3904,23.93,4065,24.91,3674,22.52
NC_001669.1,Simian virus 40 complete genome,5243,0,0,0,0,0,0,0,0,0,0
NC_001671.1,Pea seed-borne mosaic virus  complete genome,9924,0,0,0,0,0,0,0,0,0,0
NC_001672.1,Tick-borne encephalitis virus  complete genome,11141,0,0,53,.47,74,.66,53,.47,0,0
NC_001673.1,Lumbricus terrestris mitochondrion  complete genome,14998,0,0,213,1.42,176,1.17,336,2.24,123,.82
NC_001676.1,Human papillomavirus 54  complete genome,7759,0,0,180,2.31,0,0,180,2.31,0,0
NC_001678.1,Rhesus monkey papillomavirus  complete genome,8028,0,0,29,.36,0,0,29,.36,0,0
NC_001690.1,Human papillomavirus type 48  complete genome,7100,0,0,0,0,0,0,0,0,0,0
NC_001691.1,Human papillomavirus type 50  complete genome,7184,0,0,0,0,0,0,0,0,0,0
NC_001693.1,Human papillomavirus type 60  complete genome,7313,0,0,61,.83,0,0,61,.83,0,0
NC_001694.1,Human papillomavirus - 61  complete genome,7989,0,0,63,.78,49,.61,63,.78,0,0
NC_001696.2,Lucerne transient streak virus isolate LTSV-Can  complete genome,4279,0,0,0,0,0,0,0,0,0,0
NC_001697.1,Haemophilus phage HP1  complete genome,32355,0,0,57,.17,0,0,57,.17,0,0
NC_001699.1,JC polyomavirus  complete genome,5130,0,0,0,0,0,0,0,0,0,0
NC_001701.1,Goose parvovirus  complete genome,5106,0,0,0,0,0,0,0,0,0,0
NC_001702.1,Murine type C retrovirus  complete genome,8135,0,0,3036,37.32,0,0,3036,37.32,0,0
NC_001706.1,Lactococcus phage c2  complete genome,22172,0,0,161,.72,0,0,161,.72,0,0
NC_001710.1,GB virus C Hepatitis G virus  complete genome,9392,0,0,0,0,49,.52,0,0,0,0
NC_001715.1,Allomyces macrogynus mitochondrion  complete genome,57473,0,0,943,1.64,173,.30,943,1.64,0,0
NC_001716.2,Human herpesvirus 7  complete genome,153080,0,0,2519,1.64,9803,6.40,10934,7.14,8415,5.49
NC_001718.1,Porcine parvovirus  complete genome,5075,0,0,52,1.02,0,0,52,1.02,0,0
NC_001720.1,Fowl adenovirus A  complete genome,43804,0,0,323,.73,49,.11,323,.73,0,0
NC_001721.1,Olive latent virus 1  complete genome,3699,0,0,0,0,0,0,0,0,0,0
NC_001722.1,Human immunodeficiency virus 2  complete genome,10359,0,0,502,4.84,0,0,502,4.84,0,0
NC_001724.1,Snakehead retrovirus  complete genome,10688,0,0,163,1.52,49,.45,163,1.52,0,0
